review,rating,date,bank,source
it is amazing app but it is more better if it is possible to transfer from account to other telebirr,5,2025-09-22,Commercial Bank of Ethiopia,Google Play
"the app was great while it was active. however, after the app did an update, i lost connection with a message network error . please try to fix it as there are many clients of cbe using this app globally from abroad countries.",3,2025-09-21,Commercial Bank of Ethiopia,Google Play
very important app,4,2025-09-21,Commercial Bank of Ethiopia,Google Play
the best of all mobile banking in ethiopia works perfectly fine,5,2025-09-21,Commercial Bank of Ethiopia,Google Play
ok,5,2025-09-21,Commercial Bank of Ethiopia,Google Play
dantro band!!!,5,2025-09-21,Commercial Bank of Ethiopia,Google Play
some time when make transfer from mobile account to other cbebirr wallet no show customer name so please check it......thanks my cbe.. cbebirr application very nice application wallet,5,2025-09-20,Commercial Bank of Ethiopia,Google Play
this app is very useful but sometimes when you want to see specific transactions it didn t work so that way i gave 3,3,2025-09-20,Commercial Bank of Ethiopia,Google Play
why i must visit the branch i opened my account to activate the mobile banking services? if it a connected network it maybe done from any branch.,1,2025-09-20,Commercial Bank of Ethiopia,Google Play
,5,2025-09-20,Commercial Bank of Ethiopia,Google Play
asfaw damse,5,2025-09-19,Commercial Bank of Ethiopia,Google Play
ok,5,2025-09-19,Commercial Bank of Ethiopia,Google Play
nice,5,2025-09-19,Commercial Bank of Ethiopia,Google Play
jabadhaa namatii tolataan,5,2025-09-19,Commercial Bank of Ethiopia,Google Play
the app is very good in its interface and user friendly. but it could be a pro app had it had additional feature that let us run multiple accounts on a single phone with an option of additional account!,3,2025-09-19,Commercial Bank of Ethiopia,Google Play
the app is user friendly. but i want some amendment or include option of sending money to other tele birr like other cbe birr.,4,2025-09-18,Commercial Bank of Ethiopia,Google Play
truly amazing!,5,2025-09-18,Commercial Bank of Ethiopia,Google Play
doesn t have option to generate statement for transactions,3,2025-09-18,Commercial Bank of Ethiopia,Google Play
,5,2025-09-18,Commercial Bank of Ethiopia,Google Play
janalebl,5,2025-09-17,Commercial Bank of Ethiopia,Google Play
very good,5,2025-09-17,Commercial Bank of Ethiopia,Google Play
nice application,5,2025-09-17,Commercial Bank of Ethiopia,Google Play
waaaaaaaw,1,2025-09-17,Commercial Bank of Ethiopia,Google Play
very nice,5,2025-09-16,Commercial Bank of Ethiopia,Google Play
of,5,2025-09-16,Commercial Bank of Ethiopia,Google Play
it s best app to use recently and upgraded day to day for internationalization,4,2025-09-16,Commercial Bank of Ethiopia,Google Play
easy to use and not complicated,5,2025-09-15,Commercial Bank of Ethiopia,Google Play
apdat the app,5,2025-09-14,Commercial Bank of Ethiopia,Google Play
good in bankin at any time any where.,5,2025-09-13,Commercial Bank of Ethiopia,Google Play
great,5,2025-09-13,Commercial Bank of Ethiopia,Google Play
"what a useless app! transfers, wallet payments, other banks nothing works. updated, restarted, cleared cache, reinstalled still useless. crashed and forced me to visit a branch just to log in 3 times. one of the biggest banks in the country can t fix issues a junior developer could solve. completely unreliable. big bank , zero functionality!",1,2025-09-13,Commercial Bank of Ethiopia,Google Play
it is best to me,1,2025-09-13,Commercial Bank of Ethiopia,Google Play
hayizgi mebrahtom feshay,5,2025-09-13,Commercial Bank of Ethiopia,Google Play
best,5,2025-09-13,Commercial Bank of Ethiopia,Google Play
good,5,2025-09-12,Commercial Bank of Ethiopia,Google Play
great,5,2025-09-12,Commercial Bank of Ethiopia,Google Play
excellent app,5,2025-09-12,Commercial Bank of Ethiopia,Google Play
after apdate the app doesn t work any thing else it said enable to connects,1,2025-09-12,Commercial Bank of Ethiopia,Google Play
love,5,2025-09-12,Commercial Bank of Ethiopia,Google Play
good,3,2025-09-11,Commercial Bank of Ethiopia,Google Play
hasasa bank,1,2025-09-11,Commercial Bank of Ethiopia,Google Play
all ways trusted.,5,2025-09-11,Commercial Bank of Ethiopia,Google Play
best mb application in ethiopia financial sector.,5,2025-09-11,Commercial Bank of Ethiopia,Google Play
i like this app,5,2025-09-11,Commercial Bank of Ethiopia,Google Play
am tired why i have to update every 5 day,1,2025-09-11,Commercial Bank of Ethiopia,Google Play
excellent,5,2025-09-10,Commercial Bank of Ethiopia,Google Play
best,5,2025-09-10,Commercial Bank of Ethiopia,Google Play
usb debugig mode bicha off endidereg axrigu like awash bank,1,2025-09-10,Commercial Bank of Ethiopia,Google Play
good morning,5,2025-09-10,Commercial Bank of Ethiopia,Google Play
nice,5,2025-09-09,Commercial Bank of Ethiopia,Google Play
am happy,5,2025-09-09,Commercial Bank of Ethiopia,Google Play
good,5,2025-09-09,Commercial Bank of Ethiopia,Google Play
wowww,5,2025-09-08,Commercial Bank of Ethiopia,Google Play
kehru nasir abfixa,5,2025-09-08,Commercial Bank of Ethiopia,Google Play
it is well organized.,5,2025-09-08,Commercial Bank of Ethiopia,Google Play
can t see the nearest branch or atm available,2,2025-09-08,Commercial Bank of Ethiopia,Google Play
excellent,5,2025-09-08,Commercial Bank of Ethiopia,Google Play
very good,5,2025-09-07,Commercial Bank of Ethiopia,Google Play
the app does not open,1,2025-09-07,Commercial Bank of Ethiopia,Google Play
from monk,3,2025-09-06,Commercial Bank of Ethiopia,Google Play
"amazing, delightful and seamless mobile banking application, i have ever experienced!! indeed, i feel great proud to be part of your stakeholder! my first choice bank, commercial bank of ethiopia, the pioneer and leading in digital banking services in ethiopia! five stars are little to you! thank you so much",5,2025-09-06,Commercial Bank of Ethiopia,Google Play
incredible,5,2025-09-06,Commercial Bank of Ethiopia,Google Play
good,5,2025-09-06,Commercial Bank of Ethiopia,Google Play
,5,2025-09-06,Commercial Bank of Ethiopia,Google Play
it s the best money transfer app ever,5,2025-09-06,Commercial Bank of Ethiopia,Google Play
it is nice,5,2025-09-05,Commercial Bank of Ethiopia,Google Play
user friendly. best.,5,2025-09-05,Commercial Bank of Ethiopia,Google Play
,5,2025-09-05,Commercial Bank of Ethiopia,Google Play
,5,2025-09-05,Commercial Bank of Ethiopia,Google Play
best app!!!,5,2025-09-05,Commercial Bank of Ethiopia,Google Play
"it is good app and really user friendly , but it not possible to start service after the app is uninstalled or device phone is changed. so please make it easy for us, after once you set us the requirements in your office we should have to use it only by install and launch it. we do not have to visit the near by branch office every time for such silly businesses but important things. in addition to that why is that for hidding senders name or account number how can i know who tranfers to me???",4,2025-09-05,Commercial Bank of Ethiopia,Google Play
very good app,5,2025-09-05,Commercial Bank of Ethiopia,Google Play
best,5,2025-09-05,Commercial Bank of Ethiopia,Google Play
jabirabdala,5,2025-09-04,Commercial Bank of Ethiopia,Google Play
unfair cost of transportations... what a shame!!!,1,2025-09-04,Commercial Bank of Ethiopia,Google Play
"i think it is a good app to use easily. however, i have one more comment the app does not automatically sync or update the balance in real time. please review this issue. for example, when someone transfers money, the receiver s app does not sync automatically. it requires the user to manually initiate an update to see the current balance.",4,2025-09-04,Commercial Bank of Ethiopia,Google Play
waw!!! i am proud!!! my strong bank works at best even in a remote location here in malabo ecuatorial guinea . mewolid mubarak cbe!!!,5,2025-09-04,Commercial Bank of Ethiopia,Google Play
zinaa ahmed,5,2025-09-04,Commercial Bank of Ethiopia,Google Play
absolutely excellent,5,2025-09-04,Commercial Bank of Ethiopia,Google Play
nice,4,2025-09-03,Commercial Bank of Ethiopia,Google Play
good,5,2025-09-03,Commercial Bank of Ethiopia,Google Play
amazing app,5,2025-09-03,Commercial Bank of Ethiopia,Google Play
perfect and easy,5,2025-09-03,Commercial Bank of Ethiopia,Google Play
fastest,5,2025-09-03,Commercial Bank of Ethiopia,Google Play
